userId,authType,완료한 Stage
ID067207,SUMTOTAL,4
ID053206,SUMTOTAL,4
ID035339,SUMTOTAL,4
ID067639,SUMTOTAL,4
ID053165,SUMTOTAL,4
ID033965,SUMTOTAL,4
ID058754,SUMTOTAL,4
ID043777,SUMTOTAL,4
ID065631,SUMTOTAL,4
IDFL-00274804,SUMTOTAL,4
ID038560,SUMTOTAL,4
ID058879,SUMTOTAL,4
ID053346,SUMTOTAL,4
ID061446,SUMTOTAL,4
ID047987,SUMTOTAL,4
IDFL-0017747,SUMTOTAL,4
ID052786,SUMTOTAL,4
ID058762,SUMTOTAL,4
ID066225,SUMTOTAL,4
ID027719,SUMTOTAL,4
ID066845,SUMTOTAL,4
IDAC-195780817,SUMTOTAL,4
ID061399,SUMTOTAL,4
ID066995,SUMTOTAL,4
IDKS-83491017,SUMTOTAL,4
ID062104,SUMTOTAL,4
ID066511,SUMTOTAL,4
ID062954,SUMTOTAL,4
ID064736,SUMTOTAL,4
ID056998,SUMTOTAL,4
ID060494,SUMTOTAL,4
IDFL-00266087,SUMTOTAL,4
ID054080,SUMTOTAL,4
ID046135,SUMTOTAL,4
ID033852,SUMTOTAL,4
ID064225,SUMTOTAL,4
ID032836,SUMTOTAL,4
ID061169,SUMTOTAL,4
ID045158,SUMTOTAL,4
ID058869,SUMTOTAL,4
ID059758,SUMTOTAL,4
ID055041,SUMTOTAL,4
ID051135,SUMTOTAL,4
ID047780,SUMTOTAL,4
ID057108,SUMTOTAL,4
IDAC-232190917,SUMTOTAL,4
ID041501,SUMTOTAL,4
ID060009,SUMTOTAL,4
IDKS-90001117,SUMTOTAL,4
ID066066,SUMTOTAL,4
ID066593,SUMTOTAL,4
ID053041,SUMTOTAL,4
ID064629,SUMTOTAL,4
ID064249,SUMTOTAL,4
ID055329,SUMTOTAL,4
ID049611,SUMTOTAL,4
ID058575,SUMTOTAL,4
ID060051,SUMTOTAL,4
indonesia.badge,SUMTOTAL,4
ID055340,SUMTOTAL,4
ID059987,SUMTOTAL,4
ID049699,SUMTOTAL,4
ID056434,SUMTOTAL,4
ID064847,SUMTOTAL,4
ID046491,SUMTOTAL,4
ID065600,SUMTOTAL,4
ID051646,SUMTOTAL,4
ID066807,SUMTOTAL,4
IDFL-00264421,SUMTOTAL,4
ID065043,SUMTOTAL,4
ID065429,SUMTOTAL,4
ID046654,SUMTOTAL,4
ID055251,SUMTOTAL,4
ID061754,SUMTOTAL,4
ID046190,SUMTOTAL,4
ID067802,SUMTOTAL,4
IDFL-0024477,SUMTOTAL,4
ID039657,SUMTOTAL,4
ID061289,SUMTOTAL,4
ID060874,SUMTOTAL,4
ID058599,SUMTOTAL,4
ID004333,SUMTOTAL,4
ID064064,SUMTOTAL,4
ID051638,SUMTOTAL,4
ID063008,SUMTOTAL,4
ID064628,SUMTOTAL,4
ID050306,SUMTOTAL,4
ID052997,SUMTOTAL,4
ID035305,SUMTOTAL,4
ID057932,SUMTOTAL,4
ID060594,SUMTOTAL,4
ID067394,SUMTOTAL,4
ID065555,SUMTOTAL,4
ID060692,SUMTOTAL,4
ID046677,SUMTOTAL,4
ID029930,SUMTOTAL,4
ID064293,SUMTOTAL,4
ID038948,SUMTOTAL,4
IDAC-267961117,SUMTOTAL,4
IDAC-321430918,SUMTOTAL,4
ID068358,SUMTOTAL,4
ID063561,SUMTOTAL,4
ID064678,SUMTOTAL,4
ID063205,SUMTOTAL,4
IDKS-62860317,SUMTOTAL,4
IDKS-40160217,SUMTOTAL,4
ID061555,SUMTOTAL,4
ID034960,SUMTOTAL,4
ID061213,SUMTOTAL,4
ID064494,SUMTOTAL,4
ID047385,SUMTOTAL,4
ID060415,SUMTOTAL,4
ID065604,SUMTOTAL,4
ID044601,SUMTOTAL,4
IDAC-294570418,SUMTOTAL,4
ID008329,SUMTOTAL,4
ID063063,SUMTOTAL,4
ID064547,SUMTOTAL,4
ID057727,SUMTOTAL,4
ID064469,SUMTOTAL,4
ID064327,SUMTOTAL,4
